Electricity Generation (GWh),Label,Notes,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermal Generation,A,:=B+C+D+E+F+G+H,2166,2044,2109,1851,1829,1816,1777,1764,1788,1851,1980,2300,2125,1714,1991,1647,1433,1613,1725,1784,1485,1694,1655,1722,2381,2156,2092,2005,2016,1807,1856,1859,1865,2090,2193,2202,1738,1600,1912,1620,1307,1435,1655,1485,1537,1540,1651,1491,1494,1273,1579,1513,1531,1590,1654,1457,1740,1466,1624,1534,1524,1602,1634,1640,1482,1545,1604,1672,1728,1853,1509,1404,1617,1673,1867,1770,1826,1830,1935,1807,1726,1918,1982,1801,1986,1563,1683,1794,1778,1637,1890,1805,1717,1565,1787,1736,1468,1504,1769,1640,1844,1979,2030,1753,1546,1619,1488,1384,1687,1188,1413,1586,1802,1650,1667,1370,1402,1496,1700,1431,1453,1178,1381,1491,1539,1582,1644,1739,1631,1394,1479,1520,1764,1121,1533,1626,1461,1602,1762,1736,,,,
Coal,B,,400,407,308,233,272,167,243,226,220,275,296,425,320,290,394,304,281,292,246,290,278,351,401,388,339,454,412,421,354,358,461,311,344,485,489,464,453,406,450,391,272,372,452,274,285,232,297,293,247,216,368,457,302,284,249,317,309,324,429,432,424,450,429,525,411,474,413,267,356,360,354,380,431,397,491,450,306,458,425,221,178,453,462,354,520,422,344,328,335,160,155,131,218,186,326,426,272,374,466,257,173,156,162,126,122,0,0,0,130,88,61,10,2,62,2,25,41,10,78,70,4,0,28,74,10,83,102,101,88,79,90,106,273,91,128,235,274,254,291,279,,,,
Peat,C,,195,190,172,213,177,141,94,89,164,225,221,209,228,207,235,117,128,133,130,92,193,225,180,206,227,221,210,204,231,208,212,155,160,181,214,192,199,182,198,158,115,117,197,220,232,241,228,231,232,215,232,192,178,156,223,200,241,234,236,220,215,205,242,158,176,209,167,214,240,246,228,222,228,223,227,167,208,146,196,238,227,222,226,208,234,206,200,178,198,158,227,221,177,156,180,222,195,183,165,200,232,157,120,143,186,240,218,208,234,184,205,210,171,143,55,116,165,212,215,195,197,160,157,79,55,56,4,18,57,151,181,106,58,50,64,64,74,68,1,49,,,,
Oil,D,,77,29,16,14,7,34,1,16,7,11,21,71,19,11,6,16,1,1,1,7,0,4,5,2,7,0,1,0,6,3,2,4,2,3,5,3,1,1,8,2,1,1,1,0,3,3,6,4,6,1,2,1,0,0,2,0,4,1,0,1,1,8,3,3,0,0,1,1,1,1,4,10,12,13,3,3,1,3,1,2,3,17,4,4,2,3,1,1,1,1,2,3,4,2,2,1,0,2,17,0,0,0,1,3,3,7,10,10,20,5,7,16,17,8,9,6,7,17,13,7,12,5,10,7,11,25,21,49,34,19,15,18,43,12,30,32,54,47,60,14,,,,
Natural Gas,E,,1474,1395,1592,1368,1354,1456,1420,1413,1376,1319,1419,1573,1549,1193,1341,1197,1006,1172,1334,1381,998,1096,1058,1108,1266,1102,1150,1007,1157,989,952,1091,1039,1138,1115,1070,1054,983,1229,1038,890,915,977,962,989,1037,1089,934,982,823,951,836,1024,1126,1153,918,1159,878,932,853,856,914,931,928,873,835,996,1163,1104,1218,900,765,922,1014,1118,1123,1293,1199,1286,1317,1292,1197,1263,1208,1203,908,1111,1262,1223,1293,1478,1421,1258,1161,1216,1024,938,894,1068,1125,1369,1601,1673,1439,1169,1300,1196,1098,1231,852,1088,1286,1545,1371,1541,1164,1136,1197,1313,1090,1174,951,1118,1264,1398,1367,1445,1502,1382,1092,1137,1233,1318,910,1238,1225,989,1193,1343,1322,,,,
Combustible Renewables,F,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,15,14,15,15,15,15,14,15,15,15,15,15,16,14,15,14,15,16,14,16,15,14,15,13,15,14,15,14,16,15,15,14,14,14,14,14,12,14,15,16,16,16,17,16,15,16,17,14,17,16,17,16,15,16,15,16,27,25,16,16,16,16,15,15,16,15,14,15,14,16,16,15,16,15,15,14,15,14,,,,
Wastes,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,11,9,8,8,4,10,11,9,10,11,10,6,12,9,12,11,12,12,10,10,10,11,6,10,12,11,10,12,6,12,12,12,12,12,10,13,12,6,12,12,13,12,12,9,11,10,11,12,12,3,10,13,13,10,13,12,12,12,9,12,12,6,10,12,14,46,46,48,47,49,38,40,45,56,49,58,26,48,55,48,52,55,44,35,48,50,50,46,43,38,45,52,41,49,45,51,50,47,35,55,53,54,36,41,39,54,42,55,53,54,25,50,57,,,,
Other (CHP etc),H,,20,22,22,23,19,17,19,20,22,22,22,21,10,13,15,13,16,14,13,13,16,16,11,17,537,373,309,362,258,240,221,293,310,272,361,463,19,19,21,20,20,19,17,18,16,18,21,19,15,14,15,15,15,15,16,15,14,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,,,,
Non-Combustible Renewable Generation,I,:=J+K+L,345,211,280,260,181,159,286,221,340,363,442,270,365,451,256,275,571,270,203,205,521,521,647,765,637,453,346,378,281,313,295,356,351,347,447,557,567,495,479,489,475,267,144,275,322,469,388,732,689,719,572,417,395,223,242,434,194,604,525,805,901,560,687,435,661,423,513,408,420,415,851,1062,910,757,612,537,375,325,376,528,578,486,552,753,755,899,884,482,479,599,450,482,643,803,701,915,1247,895,822,774,532,323,338,564,664,754,1081,1294,858,1248,1087,842,567,662,508,856,846,1068,1010,1292,1280,1613,1288,607,777,736,806,699,814,1219,1196,1384,1074,1471,1054,686,782,611,314,584,,,,
